platform	credential_needed	where_to_get	once_or_recurring	note
GitHub Pages	PAT with repo scope	GitHub Developer Settings > Personal access tokens	Once	Needed for automated deploy from local queue
Ghost	Admin API key + site URL	Ghost Admin > Integrations	Once	Supports full post create/update/publish flow
WordPress.com	OAuth client + refresh token	WordPress developer apps	Once	Can auto-publish multilingual posts
WordPress self-hosted	Application Password + username + site URL	WordPress user profile > Application Passwords	Once	REST API posts endpoint
DEV/Forem	API key	DEV Settings > Extensions/API	Once	Create article endpoint
Hashnode	Personal Access Token	Hashnode account settings / API	Once	GraphQL publish flow
Blogger	Google OAuth client/token	Google Cloud Console + Blogger API	Once	posts.insert + update
Tumblr	OAuth consumer key/secret + token	Tumblr API application dashboard	Once	Text/link post automation
Write.as	API token + collection alias	Write.as account settings	Once	Minimal friction publishing
Telegra.ph	access_token	telegra.ph API createAccount	Once	Fast landing pages
Mastodon	Client id/secret + user token	Your Mastodon instance developer settings	Once	Distribution snippets with links
Telegram	Bot token + channel admin rights	@BotFather + add bot to channel	Once	Link distribution and updates
X / Twitter	Developer app keys + user token	X developer portal	Once	Distribution and reputation amplification
Kit	X-Kit-Api-Key	Kit account API settings	Once	Public web newsletter posts
Buttondown	API key	Buttondown settings	Once	Email+archive publication
MailerLite	API token	MailerLite integrations	Once	Campaign pipeline
Brevo	api-key	Brevo SMTP/API keys	Once	Campaign pipeline
Mailchimp	API key + server prefix	Mailchimp account extras/API keys	Once	Campaign creation and send
HubSpot CMS	Private app token	HubSpot private apps	Once	Blog post API
Wix	OAuth app credentials	Wix developer center	Once	Draft + publish APIs
Webflow	API token + collection id	Webflow site settings > integrations/API	Once	CMS item creation/publish
Notion	Internal integration token + database id	Notion integrations	Once	Public fact pages and knowledge base
LinkedIn	App + approved scopes	LinkedIn developer + product access	Once/Review	API scope approvals may take review
Beehiiv	API key (+ plan with posts endpoint)	Beehiiv settings/developer	Once/Plan	Post creation API availability depends on plan
Substack	No stable write API	Substack dashboard	Recurring manual	Use manual/import route only
Medium	No stable write API in current help docs	Medium editor/import tool	Recurring manual	Use import + canonical link workflow
